SKU,Description,Ridgefield latte,Oxford latte,Ridgefield pastel,Oxford Pastel,,,,,,,
GD3630,"30"" High Glass Door",332,332,332,358,358,358,369,369,,P,
GDCW2430,"30"" High Corner Wall Glass Door",149,149,149,161,161,161,166,166,,P,
MD1230,"30"" High Mullion Glass Door",161,161,161,174,174,174,180,180,,P,
MD1530,"30"" High Mullion Glass Door",164,164,164,177,177,177,183,183,,P,
MD1830,"30"" High Mullion Glass Door",183,183,183,198,198,198,204,204,,P,
MD2430,"30"" High Mullion Glass Door",322,322,322,348,348,348,359,359,,P,
MD3030,"30"" High Mullion Glass Door",328,328,328,354,354,354,365,365,,P,
MD3630,"30"" High Mullion Glass Door",366,366,366,396,396,396,408,408,,P,
MDCW2430,"30"" High Corner Wall Mullion Glass Door",164,164,164,177,177,177,183,183,,P,
ND1530,"30"" High 9 Light Glass Door",N/A,N/A,N/A,N/A,N/A,N/A,253,253,,P,
ND1830,"30"" High 9 Light Glass Door",N/A,N/A,N/A,N/A,N/A,N/A,282,282,,P,
ND3030,"30"" High 9 Light Glass Door",N/A,N/A,N/A,N/A,N/A,N/A,504,504,,P,
ND3630,"30"" High 9 Light Glass Door",N/A,N/A,N/A,N/A,N/A,N/A,564,564,,P,
NDCW2430,"30"" High 9 Light Corner Wall Glass Door",N/A,N/A,N/A,N/A,N/A,N/A,253,253,,P,
AFG1230,"30"" High Aluminum Glass Door",175,175,175,175,175,175,175,175,,P,
AFG1530,"30"" High Aluminum Glass Door",217,217,217,217,217,217,217,217,,P,
AFG1830,"30"" High Aluminum Glass Door",261,261,261,261,261,261,261,261,,P,
AFG2430,"30"" High Aluminum Glass Door",350,350,350,350,350,350,350,350,,P,
AFG3030,"30"" High Aluminum Glass Door",434,434,434,434,434,434,434,434,,P,
AFG3630,"30"" High Aluminum Glass Door",522,522,522,522,522,522,522,522,,P,
936,"36"" High Wall Cabinet",307,307,307,332,332,332,342,342,,P,
1236,"36"" High Wall Cabinet",335,335,335,362,362,362,373,373,,P,
1536,"36"" High Wall Cabinet",365,365,365,395,395,395,407,407,,P,
1836,"36"" High Wall Cabinet",406,406,406,438,438,438,452,452,,P,
2136,"36"" High Wall Cabinet",434,434,434,469,469,469,484,484,,P,
2436,"36"" High Wall Cabinet",483,483,483,522,522,522,538,538,,P,
2736,"36"" High Wall Cabinet",513,513,513,554,554,554,571,571,,P,
3036,"36"" High Wall Cabinet",543,543,543,587,587,587,605,605,,P,
3336,"36"" High Wall Cabinet",573,573,573,619,619,619,638,638,,P,
3636,"36"" High Wall Cabinet",603,603,603,651,651,651,671,671,,P,
3936,"36"" High Wall Cabinet",643,643,643,694,694,694,715,715,,P,
4236,"36"" High Wall Cabinet",661,661,661,714,714,714,736,736,,P,
4836,"36"" High Wall Cabinet",966,966,966,1045,1045,1045,1077,1077,,P,
CW2436,"36"" High Corner Wall cabinet",729,729,729,788,788,788,812,812,,P,
CW2736,"36"" High Corner Wall cabinet",759,759,759,820,820,820,845,845,,P,
WSQ2436,"36"" High Wall Square Corner Cabinet",766,766,766,827,827,827,852,852,,P,
BLW27/3036,"36"" High Blind Wall cabinet",494,494,494,533,533,533,549,549,,P,
BLW30/3336,"36"" High Blind Wall cabinet",544,544,544,587,587,587,605,605,,P,
BLW36/3936,"36"" High Blind Wall cabinet",644,644,644,695,695,695,716,716,,P,
BLW39/4236,"36"" High Blind Wall cabinet",676,676,676,730,730,730,752,752,,P,
WFI1236,"36"" High Finished Interior Wall Cabinet",472,472,472,472,472,472,472,472,,P,
WFI1536,"36"" High Finished Interior Wall Cabinet",482,482,482,482,482,482,482,482,,P,
WFI1836,"36"" High Finished Interior Wall Cabinet",507,507,507,507,507,507,507,507,,P,
WFI2436,"36"" High Finished Interior Wall Cabinet",619,619,619,619,619,619,619,619,,P,
WFI3036,"36"" High Finished Interior Wall Cabinet",629,629,629,629,629,629,629,629,,P,
WFI3636,"36"" High Finished Interior Wall Cabinet",689,689,689,689,689,689,689,689,,P,
CWFI2436,"36"" High Finished Interior Corner Wall cabinet",817,817,817,817,817,817,817,817,,P,
CWFI2736,"36"" High Finished Interior Corner Wall cabinet",858,858,858,858,858,858,858,858,,P,
GD1236,"36"" High Glass Door",157,157,157,176,176,176,182,182,,P,
GD1536,"36"" High Glass Door",167,167,167,180,180,180,186,186,,P,
GD1836,"36"" High Glass Door",185,185,185,200,200,200,206,206,,P,
GD2436,"36"" High Glass Door",314,314,314,352,352,352,363,363,,P,
GD3036,"36"" High Glass Door",334,334,334,360,360,360,371,371,,P,
GD3636,"36"" High Glass Door",370,370,370,400,400,400,412,412,,P,
GDCW2436,"36"" High Corner Wall Glass Door",167,167,167,180,180,180,186,186,,P,
MD1236,"36"" High Mullion Glass Door",163,163,163,182,182,182,188,188,,P,
MD1536,"36"" High Mullion Glass Door",174,174,174,193,193,193,199,199,,P,
MD1836,"36"" High Mullion Glass Door",193,193,193,213,213,213,220,220,,P,
MD2436,"36"" High Mullion Glass Door",336,336,336,364,364,364,375,375,,P,
MD3036,"36"" High Mullion Glass Door",358,358,358,386,386,386,398,398,,P,
MD3636,"36"" High Mullion Glass Door",396,396,396,426,426,426,439,439,,P,
MDCW2436,"36"" High Corner Wall Mullion Glass Door",174,174,174,193,193,193,199,199,,P,
ND1536,"36"" High 9 Light Glass Door",N/A,N/A,N/A,N/A,N/A,N/A,275,275,,P,
ND1836,"36"" High 9 Light Glass Door",N/A,N/A,N/A,N/A,N/A,N/A,307,307,,P,
ND3036,"36"" High 9 Light Glass Door",N/A,N/A,N/A,N/A,N/A,N/A,550,550,,P,
ND3636,"36"" High 9 Light Glass Door",N/A,N/A,N/A,N/A,N/A,N/A,606,606,,P,
NDCW2436,"36"" High 9 Light Corner Wall Glass Door",N/A,N/A,N/A,N/A,N/A,N/A,275,275,,P,
AFG1236,"36"" High Aluminum Glass Door",209,209,209,209,209,209,209,209,,P,
AFG1536,"36"" High Aluminum Glass Door",261,261,261,261,261,261,261,261,,P,
AFG1836,"36"" High Aluminum Glass Door",314,314,314,314,314,314,314,314,,P,
AFG2436,"36"" High Aluminum Glass Door",418,418,418,418,418,418,418,418,,P,
AFG3036,"36"" High Aluminum Glass Door",522,522,522,522,522,522,522,522,,P,
AFG3636,"36"" High Aluminum Glass Door",628,628,628,628,628,628,628,628,,P,
942,"42"" High Wall Cabinet",357,357,357,385,385,385,397,397,,P,
1242,"42"" High Wall Cabinet",385,385,385,415,415,415,428,428,,P,
1542,"42"" High Wall Cabinet",415,415,415,448,448,448,462,462,,P,
1842,"42"" High Wall Cabinet",454,454,454,491,491,491,506,506,,P,
2142,"42"" High Wall Cabinet",495,495,495,534,534,534,551,551,,P,
2442,"42"" High Wall Cabinet",535,535,535,577,577,577,595,595,,P,
2742,"42"" High Wall Cabinet",566,566,566,611,611,611,630,630,,P,
3042,"42"" High Wall Cabinet",645,645,645,696,696,696,717,717,,P,
3342,"42"" High Wall Cabinet",678,678,678,732,732,732,754,754,,P,
3642,"42"" High Wall Cabinet",711,711,711,768,768,768,792,792,,P,
3942,"42"" High Wall Cabinet",750,750,750,810,810,810,835,835,,P,
4242,"42"" High Wall Cabinet",787,787,787,850,850,850,876,876,,P,
4842,"42"" High Wall Cabinet",1070,1070,1070,1156,1156,1156,1191,1191,,P,
CW2442,"42"" High Corner Wall cabinet",789,789,789,853,853,853,879,879,,P,
CW2742,"42"" High Corner Wall cabinet",819,819,819,885,885,885,912,912,,P,
WSQ2442,"42"" High Wall Square Corner Cabinet",793,793,793,856,856,856,882,882,,P,
BLW27/3042,"42"" High Blind Wall cabinet",557,557,557,602,602,602,621,621,,P,
BLW30/3342,"42"" High Blind Wall cabinet",567,567,567,612,612,612,631,631,,P,
BLW36/3942,"42"" High Blind Wall cabinet",676,676,676,730,730,730,752,752,,P,
BLW39/4242,"42"" High Blind Wall cabinet",666,666,666,720,720,720,742,742,,P,
WFI1242,"42"" High Finished Interior Wall Cabinet",527,527,527,527,527,527,527,527,,P,
WFI1542,"42"" High Finished Interior Wall Cabinet",537,537,537,537,537,537,537,537,,P,
WFI1842,"42"" High Finished Interior Wall Cabinet",563,563,563,563,563,563,563,563,,P,
WFI2442,"42"" High Finished Interior Wall Cabinet",679,679,679,679,679,679,679,679,,P,
WFI3042,"42"" High Finished Interior Wall Cabinet",689,689,689,689,689,689,689,689,,P,
WFI3642,"42"" High Finished Interior Wall Cabinet",747,747,747,747,747,747,747,747,,P,
CWFI2442,"42"" High Finished Interior Corner Wall cabinet",881,881,881,881,881,881,881,881,,P,
CWFI2742,"42"" High Finished Interior Corner Wall cabinet",925,925,925,925,925,925,925,925,,P,
GD1242,"42"" High Glass Door",176,176,176,197,197,197,203,203,,P,
GD1542,"42"" High Glass Door",186,186,186,201,201,201,208,208,,P,
GD1842,"42"" High Glass Door",204,204,204,220,220,220,227,227,,P,
GD2442,"42"" High Glass Door",352,352,352,393,393,393,405,405,,P,
GD3042,"42"" High Glass Door",372,372,372,402,402,402,415,415,,P,
GD3642,"42"" High Glass Door",408,408,408,440,440,440,454,454,,P,
GDCW2442,"42"" High Corner Wall Glass Door",186,186,186,201,201,201,208,208,,P,
MD1242,"42"" High Mullion Glass Door",194,194,194,202,202,202,209,209,,P,
MD1542,"42"" High Mullion Glass Door",206,206,206,214,214,214,221,221,,P,
MD1842,"42"" High Mullion Glass Door",224,224,224,233,233,233,240,240,,P,
MD2442,"42"" High Mullion Glass Door",388,388,388,404,404,404,417,417,,P,
MD3042,"42"" High Mullion Glass Door",412,412,412,428,428,428,441,441,,P,
MD3642,"42"" High Mullion Glass Door",448,448,448,466,466,466,480,480,,P,
MDCW2442,"42"" High Corner Wall Mullion Glass Door",206,206,206,214,214,214,221,221,,P,
ND1542,"42"" High 9 Light Glass Door",N/A,N/A,N/A,N/A,N/A,N/A,305,305,,P,
ND1842,"42"" High 9 Light Glass Door",N/A,N/A,N/A,N/A,N/A,N/A,332,332,,P,
ND3042,"42"" High 9 Light Glass Door",N/A,N/A,N/A,N/A,N/A,N/A,609,609,,P,
ND3642,"42"" High 9 Light Glass Door",N/A,N/A,N/A,N/A,N/A,N/A,663,663,,P,
NDCW2442,"42"" High 9 Light Corner Wall Glass Door",N/A,N/A,N/A,N/A,N/A,N/A,305,305,,P,
AFG1242,"42"" High Aluminum Glass Door",250,250,250,250,250,250,250,250,,P,
AFG1542,"42"" High Aluminum Glass Door",314,314,314,314,314,314,314,314,,P,
AFG1842,"42"" High Aluminum Glass Door",375,375,375,375,375,375,375,375,,P,
AFG2442,"42"" High Aluminum Glass Door",500,500,500,500,500,500,500,500,,P,
AFG3042,"42"" High Aluminum Glass Door",628,628,628,628,628,628,628,628,,P,
AFG3642,"42"" High Aluminum Glass Door",750,750,750,750,750,750,750,750,,P,
3012HD,"12"" High Horizontal cabinet",553,553,553,575,575,575,593,593,,P,
3015HD,"15"" High Horizontal cabinet",605,605,605,636,636,636,656,656,,P,
3018HD,"18"" High Horizontal cabinet",635,635,635,665,665,665,685,685,,P,
3612HD,"12"" High Horizontal cabinet",612,612,612,639,639,639,659,659,,P,
3615HD,"15"" High Horizontal cabinet",665,665,665,697,697,697,718,718,,P,
3618HD,"18"" High Horizontal cabinet",695,695,695,729,729,729,751,751,,P,
AFG3012HD,"12"" High Horizontal cabinet W/ Aluminum Frame Door",643,643,643,658,658,658,658,658,,P,
AFG3015HD,"15"" High Horizontal cabinet W/ Aluminum Frame Door",721,721,721,743,743,743,743,743,,P,
AFG3018HD,"18"" High Horizontal cabinet W/ Aluminum Frame Door",786,786,786,807,807,807,807,807,,P,
AFG3612HD,"12"" High Horizontal cabinet W/ Aluminum Frame Door",718,718,718,737,737,737,737,737,,P,
AFG3615HD,"15"" High Horizontal cabinet W/ Aluminum Frame Door",807,807,807,830,830,830,830,830,,P,
AFG3618HD,"18"" High Horizontal cabinet W/ Aluminum Frame Door",881,881,881,905,905,905,905,905,,P,
MW3018,"18"" Microwave Cabinet",313,313,313,325,325,325,325,325,,P,
MWS3018,"30"" Solid Frame Microwave Cabinet",455,455,455,492,492,492,492,492,,P,
MW3030,"30"" Microwave Cabinet",455,455,455,492,492,492,507,507,,P,
WEC1230,"30"" High Wall End Cabinet",335,335,335,374,374,374,386,386,,P,
WEC1236,"36"" High Wall End Cabinet",395,395,395,440,440,440,454,454,,P,
WEC1242,"42"" High Wall End Cabinet",455,455,455,506,506,506,522,522,,P,
WECD1230,"30"" High Wall End Door Cabinet",335,335,335,362,362,362,373,373,,P,
WECD1236,"36"" High Wall End Door Cabinet",395,395,395,427,427,427,440,440,,P,
WECD1242,"42"" High Wall End Door Cabinet",455,455,455,492,492,492,507,507,,P,
CW2418,"18"" High Top Of Counter cabinet",897,897,897,957,957,957,986,986,,P,
WD1818,"18"" Top of Counter Cabinet",543,543,543,587,587,587,605,605,,P,
WD1848,"48"" Top of Counter Cabinet",N/A,N/A,N/A,1149,1149,1149,1178,1178,,P,
WD1854,"54"" Top of Counter Cabinet",N/A,N/A,N/A,1225,1225,1225,1257,1257,,P,
WD1860,"60"" Top of Counter Cabinet",N/A,N/A,N/A,1278,1278,1278,1311,1311,,P,
WR3018,Wine Rack Cabinet,367,367,367,378,378,378,378,378,,P,
PR3018,Plate Rack Cabinet,367,367,367,378,378,378,378,378,,P,
WS630,"30"" High wall Knick Knack Shelf",160,160,160,160,160,160,160,160,,P,
WS636,"36"" High wall Knick Knack Shelf",189,189,189,189,189,189,189,189,,P,
WS642,"42"" High wall Knick Knack Shelf",217,217,217,217,217,217,217,217,,P,
WS1230,"30"" High wall Knick Knack Shelf",217,217,217,217,217,217,217,217,,P,
WS1236,"36"" High wall Knick Knack Shelf",234,234,234,234,234,234,234,234,,P,
WS1242,"42"" High wall Knick Knack Shelf",250,250,250,250,250,250,250,250,,P,
B9,"9"" Base Cabinet",415,415,415,448,448,448,462,462,,P,
B12,"12"" Base Cabinet",455,455,455,492,492,492,507,507,,P,
B15,"15"" Base Cabinet",494,494,494,533,533,533,549,549,,P,
B18,"18"" Base Cabinet",532,532,532,575,575,575,593,593,,P,
B21,"21"" Base Cabinet",573,573,573,619,619,619,638,638,,P,
B24,"24"" Base Cabinet",612,612,612,661,661,661,681,681,,P,
B27,"27"" Base Cabinet",652,652,652,705,705,705,727,727,,P,
B30,"30"" Base Cabinet",710,710,710,767,767,767,791,791,,P,
B33,"33"" Base Cabinet",767,767,767,828,828,828,853,853,,P,
B36,"36"" Base Cabinet",807,807,807,871,871,871,898,898,,P,
B39,"39"" Base Cabinet",845,845,845,913,913,913,941,941,,P,
B42,"42"" Base Cabinet",887,887,887,958,958,958,987,987,,P,
B48,"48"" Base Cabinet",968,968,968,1046,1046,1046,1078,1078,,P,
DB12,"12"" 3-Drawer Base cabinet",710,710,710,767,767,767,791,791,,P,
DB15,"15"" 3-Drawer Base cabinet",751,751,751,811,811,811,836,836,,P,
DB18,"18"" 3-Drawer Base cabinet",789,789,789,853,853,853,879,879,,P,
DB21,"21"" 3-Drawer Base cabinet",828,828,828,894,894,894,921,921,,P,
DB24,"24"" 3-Drawer Base cabinet",906,906,906,979,979,979,1009,1009,,P,
DB30,"30"" 3-Drawer Base cabinet",989,989,989,1068,1068,1068,1101,1101,,P,
DB33,"33"" 3-Drawer Base cabinet",1008,1008,1008,1089,1089,1089,1122,1122,,P,
DB36,"36"" 3-Drawer Base cabinet",1027,1027,1027,1109,1109,1109,1143,1143,,P,
DB30-2,"30"" 2-Drawer Base cabinet",986,986,986,1068,1068,1068,1101,1101,,P,
DB15-4,"15"" 4-Drawer Base cabinet",N/A,N/A,N/A,974,974,974,1004,1004,,P,
DB18-4,"18"" 4-Drawer Base cabinet",N/A,N/A,N/A,1024,1024,1024,1055,1055,,P,
DB21-4,"21"" 4-Drawer Base cabinet",N/A,N/A,N/A,1073,1073,1073,1106,1106,,P,
DB30-4,"30"" 4-Drawer Base cabinet",N/A,N/A,N/A,1282,1282,1282,1322,1322,,P,
B9FH,"9"" Full Height Base Cabinet",352,352,352,381,381,381,393,393,,P,
B12FH,"12"" Full Height Base Cabinet",376,376,376,406,406,406,419,419,,P,
B15FH,"15"" Full Height Base Cabinet",406,406,406,438,438,438,452,452,,P,
B18FH,"18"" Full Height Base Cabinet",421,421,421,455,455,455,469,469,,P,
B21FH,"21"" Full Height Base Cabinet",464,464,464,501,501,501,517,517,,P,
B24FH,"24"" Full Height Base Cabinet",513,513,513,554,554,554,571,571,,P,
B27FH,"27"" Full Height Base Cabinet",543,543,543,587,587,587,605,605,,P,
B30FH,"30"" Full Height Base Cabinet",573,573,573,619,619,619,638,638,,P,
B33FH,"33"" Full Height Base Cabinet",603,603,603,651,651,651,671,671,,P,
B36FH,"36"" Full Height Base Cabinet",631,631,631,681,681,681,702,702,,P,
B39FH,"39"" Full Height Base Cabinet",694,694,694,749,749,749,772,772,,P,
B42FH,"42"" Full Height Base Cabinet",764,764,764,824,824,824,849,849,,P,
B48FH,"48"" Full Height Base Cabinet",840,840,840,906,906,906,934,934,,P,
SB24,"24"" Sink Base Cabinet",513,513,513,554,554,554,571,571,,P,
SB27,"27"" Sink Base Cabinet",543,543,543,587,587,587,605,605,,P,
SB30,"30"" Sink Base Cabinet",573,573,573,619,619,619,638,638,,P,
SB33,"33"" Sink Base Cabinet",603,603,603,651,651,651,671,671,,P,
SB36,"36"" Sink Base Cabinet",631,631,631,681,681,681,702,702,,P,
SB39,"39"" Sink Base Cabinet",672,672,672,725,725,725,747,747,,P,
SB42,"42"" Sink Base Cabinet",710,710,710,767,767,767,791,791,,P,
SB48,"48"" Sink Base Cabinet",816,816,816,882,882,882,909,909,,P,
BLB36/39,"36/39"" Blind Base Cabinet",664,664,664,717,717,717,739,739,,P,
BLB39/42,"39/42"" Blind Base Cabinet",697,697,697,753,753,753,776,776,,P,
BLB42/45,"42/45"" Blind Base Cabinet",729,729,729,788,788,788,812,812,,P,
BLB45/48,"45/48"" Blind Base Cabinet",763,763,763,824,824,824,849,849,,P,
BLB48/51,"48/51"" Blind Base Cabinet",796,796,796,860,860,860,886,886,,P,
CSF36,"36"" Corner Sink Front cabinet",346,346,346,374,374,374,386,386,,P,
CSFFL36,"36"" Corner Sink Front Floor",95,95,95,95,95,95,95,95,,P,
CSB33,"33"" Corner Sink Base cabinet",933,933,933,1008,1008,1008,1039,1039,,P,
CSB36,"36"" Corner Sink Base cabinet",1036,1036,1036,1119,1119,1119,1153,1153,,P,
BLS33,"33"" Base Lazy Susan Cabinet",1282,1282,1282,1385,1385,1385,1427,1427,,P,
BLS36,"36"" Base Lazy Susan Cabinet",1282,1282,1282,1385,1385,1385,1427,1427,,P,
BSQC33,"33"" Base Square Corner Cabinet",1056,1056,1056,1140,1140,1140,1175,1175,,P,
BSQC36,"36"" Base Square Corner Cabinet",1066,1066,1066,1151,1151,1151,1186,1186,,P,
BM24,"24"" Base Microwave Cabinet",777,777,777,839,839,839,865,865,,P,
BM30,"30"" Base Microwave Cabinet",825,825,825,891,891,891,918,918,,P,
BO30,"30"" Base Oven Cabinet",632,632,632,683,683,683,683,683,,P,
BO33,"33"" Base Oven Cabinet",722,722,722,780,780,780,780,780,,P,
BAC24FH,"24"" Base Angle Cabinet",691,691,691,746,746,746,769,769,,P,
BEC24,"24"" Base End Cabinet",691,691,691,746,746,746,769,769,,P,
BAC12FH,"12"" Base Angle Cabinet",434,434,434,483,483,483,498,498,,P,
BSP6,"6"" Base Spice Cabinet",337,337,337,364,364,364,375,375,,P,
BSP9,"9"" Base Spice Cabinet",406,406,406,438,438,438,452,452,,P,
BS24,"24"" Base Knick Knack Cabinet",291,291,291,294,294,294,294,294,,P,
FS30,"30"" Farm Sink Cabinet",1173,1173,1173,1256,1256,1256,1294,1294,,P,
FS33,"33"" Farm Sink Cabinet",1204,1204,1204,1252,1252,1252,1290,1290,,P,
FS36,"36"" Farm Sink Cabinet",1232,1232,1232,1283,1283,1283,1322,1322,,P,
UC1524x84,"84"" Utility Cabinet",1340,1340,1340,1447,1447,1447,1491,1491,,P,
UC1524x90,"90"" Utility Cabinet",1736,1736,1736,1875,1875,1875,1932,1932,,P,
UC1524x96,"96"" Utility Cabinet",1865,1865,1865,2014,2014,2014,2075,2075,,P,
UC1824x84,"84"" Utility Cabinet",1340,1340,1340,1447,1447,1447,1491,1491,,P,
UC1824x90,"90"" Utility Cabinet",1736,1736,1736,1875,1875,1875,1932,1932,,P,
UC1824x96,"96"" Utility Cabinet",1865,1865,1865,2014,2014,2014,2075,2075,,P,
UC2412x84,"84"" Utility Cabinet",1261,1261,1261,1362,1362,1362,1403,1403,,P,
UC2412x90,"90"" Utility Cabinet",1389,1389,1389,1500,1500,1500,1545,1545,,P,
UC2412x96,"96"" Utility Cabinet",1518,1518,1518,1639,1639,1639,1689,1689,,P,
UC2424x84,"84"" Utility Cabinet",1672,1672,1672,1806,1806,1806,1861,1861,,P,
UC2424x90,"90"" Utility Cabinet",1804,1804,1804,1945,1945,1945,2004,2004,,P,
UC2424x96,"96"" Utility Cabinet",1929,1929,1929,2084,2084,2084,2147,2147,,P,
UC3024x84,"84"" Utility Cabinet",2025,2025,2025,2296,2296,2296,2365,2365,,P,
UC3024x90,"90"" Utility Cabinet",2227,2227,2227,2526,2526,2526,2602,2602,,P,
UC3024x96,"96"" Utility Cabinet",2450,2450,2450,2778,2778,2778,2862,2862,,P,
OV3384,"84"" Oven Cabinet",1801,1801,1801,1945,1945,1945,2004,2004,,P,
OV3390,"90"" Oven Cabinet",1929,1929,1929,2084,2084,2084,2147,2147,,P,
OV3396,"96"" Oven Cabinet",2058,2058,2058,2222,2222,2222,2289,2289,,P,
V1816,"18"" Vanity Cabinet",425,425,425,459,459,459,473,473,,P,
V2418,"24"" Vanity Cabinet",544,544,544,587,587,587,605,605,,P,
V3018,"30"" Vanity Cabinet",567,567,567,612,612,612,631,631,,P,
V2121,"21"" Vanity Cabinet",494,494,494,533,533,533,549,549,,P,
V2421,"24"" Vanity Cabinet",562,562,562,607,607,607,626,626,,P,
V3021,"30"" Vanity Cabinet",622,622,622,672,672,672,693,693,,P,
V3621,"36"" Vanity Cabinet",691,691,691,746,746,746,769,769,,P,
V4221,"42"" Vanity Cabinet",958,958,958,1066,1066,1066,1098,1098,,P,
V4821,"48"" Vanity Cabinet",1030,1030,1030,1113,1113,1113,1147,1147,,P,
V2421D,"24"" Vanity Combo Cabinet",1000,1000,1000,1070,1070,1070,1103,1103,,P,
V3021D,"30"" Vanity Combo Cabinet",1021,1021,1021,1120,1120,1120,1154,1154,,P,
V3621D,"36"" Vanity Combo Cabinet",1063,1063,1063,1190,1190,1190,1226,1226,,P,
V4821DD,"48"" Vanity Combo Cabinet",1607,1607,1607,1735,1735,1735,1788,1788,,P,
VDB1221,"12"" Vanity Drawer Base Cabinet",592,592,592,640,640,640,660,660,,P,
VDB1521,"15"" Vanity Drawer Base Cabinet",631,631,631,681,681,681,702,702,,P,
VDB1821,"18"" Vanity Drawer Base Cabinet",672,672,672,725,725,725,747,747,,P,
VL1821x80,Vanity Linen Cabinet,1233,1233,1233,1332,1332,1332,1372,1372,,P,
VOL1821x80,Vanity Open Linen Cabinet,1085,1085,1085,1172,1172,1172,1208,1208,,P,
WF330,"30"" Wall Filler",30,30,30,30,30,30,30,30,,P,
WF336,"36"" Wall Filler",37,37,37,37,37,37,37,37,,P,
WF342,"42"" Wall Filler",43,43,43,43,43,43,43,43,,P,
WF630,"30"" Wall Filler",50,50,50,50,50,50,50,50,,P,
WF636,"36"" Wall Filler",62,62,62,62,62,62,62,62,,P,
WF642,"42"" Wall Filler",69,69,69,69,69,69,69,69,,P,
OWF330,"30"" Overlay Wall Filler",32,32,32,32,32,32,32,32,,P,
OWF336,"36"" Overlay Wall Filler",37,37,37,37,37,37,37,37,,P,
OWF342,"42"" Overlay Wall Filler",45,45,45,45,45,45,45,45,,P,
TF396,"96"" Tall Filler",147,147,147,147,147,147,147,147,,P,
TF696,"96"" Tall Filler",246,246,246,246,246,246,246,246,,P,
