feather-lodge,Code,Desc,List Price
GRC,FW0930GRC,FL W0930 GRAND RESERVE CHERRY, $119.00 
,FW1230GRC,FL W1230 GRAND RESERVE CHERRY, $138.00 
,FW1530GRC,FL W1530 GRAND RESERVE CHERRY, $157.00 
,FW1830GRC,FL W1830 GRAND RESERVE CHERRY, $176.00 
,FW2130GRC,FL W2130 GRAND RESERVE CHERRY, $194.00 
,FW2430GRC,FL W2430 GRAND RESERVE CHERRY, $217.00 
,FW2730GRC,FL W2730 GRAND RESERVE CHERRY, $238.00 
,FW3030GRC,FL W3030 GRAND RESERVE CHERRY, $257.00 
,FW3330GRC,FL W3330 GRAND RESERVE CHERRY, $276.00 
,FW3630GRC,FL W3630 GRAND RESERVE CHERRY, $294.00 
,FWBC2730GRC,FL WBC2730 GRAND RESERVE CHERR, $208.00 
,FWDC2430GRC,FL WDC2430 GRAND RESERVE CHERR, $288.00 
,FW3012GRC,FL W3012 GRAND RESERVE CHERRY, $141.00 
,FW3312GRC,FL W3312 GRAND RESERVE CHERRY, $157.00 
,FW3612GRC,FL W3612 GRAND RESERVE CHERRY, $172.00 
,FW2415GRC,FL W2415 GRAND RESERVE CHERRY, $138.00 
,FW3015GRC,FL W3015 GRAND RESERVE CHERRY, $160.00 
,FW3315GRC,FL W3315 GRAND RESERVE CHERRY, $175.00 
,FW3615GRC,FL W3615 GRAND RESERVE CHERRY, $194.00 
,FW2418GRC,FL W2418 GRAND RESERVE CHERRY, $159.00 
,FW3018GRC,FL W3018 GRAND RESERVE CHERRY, $176.00 
,FW3318GRC,FL W3318 GRAND RESERVE CHERRY, $190.00 
,FW3618GRC,FL W3618 GRAND RESERVE CHERRY, $204.00 
,FW2424GRC,FL W2424 GRAND RESERVE CHERRY, $182.00 
,FW3024GRC,FL W3024 GRAND RESERVE CHERRY, $209.00 
,FW3624GRC,FL W3624 GRAND RESERVE CHERRY, $253.00 
,FW331224GRC,FL W331224 GRAND RESERVE CHERR, $196.00 
,FW361224GRC,FL W361224 GRAND RESERVE CHERR, $211.00 
,FW331524GRC,FL W331524 GRAND RESERVE CHERR, $211.00 
,FW361524GRC,FL W361524 GRAND RESERVE CHERR, $225.00 
,FW361824GRC,FL W361824 GRAND RESERVE CHERR, $239.00 
,FW332424GRC,FL W332424 GRAND RESERVE CHERR, $275.00 
,FW362424GRC,FL W362424 GRAND RESERVE CHERR, $295.00 
,FW0936GRC,FL W0936 GRAND RESERVE CHERRY, $153.00 
,FW1236GRC,FL W1236 GRAND RESERVE CHERRY, $174.00 
,FW1536GRC,FL W1536 GRAND RESERVE CHERRY, $194.00 
,FW1836GRC,FL W1836 GRAND RESERVE CHERRY, $215.00 
,FW2136GRC,FL W2136 GRAND RESERVE CHERRY, $236.00 
,FW2436GRC,FL W2436 GRAND RESERVE CHERRY, $260.00 
,FW2736GRC,FL W2736 GRAND RESERVE CHERRY, $282.00 
,FW3036GRC,FL W3036 GRAND RESERVE CHERRY, $304.00 
,FW3336GRC,FL W3336 GRAND RESERVE CHERRY, $326.00 
,FW3636GRC,FL W3636 GRAND RESERVE CHERRY, $344.00 
,FWDC2436GRC,FL WDC2436 GRAND RESERVE CHERR, $325.00 
,FW0942GRC,FL W0942 GRAND RESERVE CHERRY, $176.00 
,FW1242GRC,FL W1242 GRAND RESERVE CHERRY, $198.00 
,FW1542GRC,FL W1542 GRAND RESERVE CHERRY, $219.00 
,FW1842GRC,FL W1842 GRAND RESERVE CHERRY, $241.00 
,FW2142GRC,FL W2142 GRAND RESERVE CHERRY, $263.00 
,FW2442GRC,FL W2442 GRAND RESERVE CHERRY, $289.00 
,FW2742GRC,FL W2742 GRAND RESERVE CHERRY, $312.00 
,FW3042GRC,FL W3042 GRAND RESERVE CHERRY, $336.00 
,FW3342GRC,FL W3342 GRAND RESERVE CHERRY, $360.00 
,FW3642GRC,FL W3642 GRAND RESERVE CHERRY, $385.00 
,FWDC2442GRC,FL WDC2442 GRAND RESERVE CHERR, $352.00 
,FWDC2742GRC,FL WDC2742 GRAND RESERVE CHERR, $398.00 
,FB09GRC,FL B09 GRAND RESERVE CHERRY, $167.00 
,FB12GRC,FL B12 GRAND RESERVE CHERRY, $229.00 
,FB15GRC,FL B15 GRAND RESERVE CHERRY, $246.00 
,FB18GRC,FL B18 GRAND RESERVE CHERRY, $263.00 
,FB21GRC,FL B21GRAND RESERVE CHERRY, $280.00 
,FB24GRC,FL B24 GRAND RESERVE CHERRY, $311.00 
,FB27GRC,FL B27 GRAND RESERVE CHERRY, $333.00 
,FB30GRC,FL B30 GRAND RESERVE CHERRY, $362.00 
,FB33GRC,FL B33 GRAND RESERVE CHERRY, $425.00 
,FB36GRC,FL B36 GRAND RESERVE CHERRY, $447.00 
,FBBC42-45GRC,FL BBC42-45 GRAND RESERVE CHER, $378.00 
,FDB15GRC,FL DB15 GRAND RESERVE CHERRY, $420.00 
,FDB18GRC,FL DB18 GRAND RESERVE CHERRY, $445.00 
,FDB21GRC,FL DB21 GRAND RESERVE CHERRY, $470.00 
,FDB24GRC,FL DB24 GRAND RESERVE CHERRY, $494.00 
,FDB30GRC,FL DB30 GRAND RESERVE CHERRY, $544.00 
,FDCB3612GRC,FL DCB3612 GRAND RESERVE CHERR, $601.00 
,FBC24GRC,FL BC24 GRAND RESERVE CHERRY, $281.00 
,FSB30GRC,FL SB30 GRAND RESERVE CHERRY, $296.00 
,FSB33GRC,FL SB33 GRAND RESERVE CHERRY, $317.00 
,FSB36GRC,FL SB36 GRAND RESERVE CHERRY, $338.00 
,FSB42GRC,FL SB42 GRAND RESERVE CHERRY, $352.00 
,FSB60GRC,FL SB60 GRAND RESERVE CHERRY, $710.00 
,FWP1884GRC,FL WP1884 GRAND RESERVE CHERRY, $563.00 
,FWP2484GRC,FL WP2484 GRAND RESERVE CHERRY, $647.00 
,FWP1890GRC,FL WP1890 GRAND RESERVE CHERRY, $603.00 
,FWP2490GRC,FL WP2490 GRAND RESERVE CHERRY, $686.00 
,FWP1896GRC,FL WP1896 GRAND RESERVE CHERRY, $654.00 
,FWP2496GRC,FL WP2496 GRAND RESERVE CHERRY, $746.00 
,FOU332484GRC,FL OU332484 GRAND RESERVE CHER, $997.00 
,FOU332490GRC,FL OU332490 GRAND RESERVE CHER," $1,075.00 "
,FTK8GRC,FL TK8 GRAND RESERVE CHERRY, $12.00 
,FCM8+DM8GRC,FL CM8 + DM8 GRAND RESERVE CHE, $87.00 
,FLRM7GRC,FL LRM7 GRAND RESERVE CHERRY, $72.00 
,FOSC7GRC,FL OSC7 GRAND RESERVE CHERRY, $22.00 
,FSCM7GRC,FL SCM7 GRAND RESERVE CHERRY, $8.00 
,FVA48GRC,FL VA48 GRAND RESERVE CHERRY, $39.00 
,FVAS48GRC,FL VAS48 GRAND RESERVE CHERRY, $41.00 
,FF330GRC,FL F330 GRAND RESERVE CHERRY, $14.00 
,FF342GRC,FL F342 GRAND RESERVE CHERRY, $19.00 
,FF396GRC,FL F396 GRAND RESERVE CHERRY, $49.00 
,FF642GRC,FL F642 GRAND RESERVE CHERRY, $37.00 
,FBF3GRC,FL BF3 GRAND RESERVE CHERRY, $19.00 
,FBEP3LGRC,FL BEP3L GRAND RESERVE CHERRY, $50.00 
,FEP24X35GRC,FL END PANEL 24X35 GRAND RESER, $17.00 
,FWEP12X42GRC,FL WALL END PAN 12X42 GRAND RE, $12.00 
,F3X4PANGRC,"FL 3X4X1/4"""" ISLAND PAN GRAND", $64.00 
,FRP84GRC,FL RP84 GRAND RESERVE CHERRY, $86.00 
,FR90GRC,FL RP90 GRAND RESERVE CHERRY, $92.00 
,FRP96GRC,FL RP96 GRAND RESERVE CHERRY, $98.00 
,FMC3018GRC,FL MC3018 GRAND RESERVE CHERRY, $129.00 
,FPR3015GRC,FL PR3015 GRAND RESERVE CHERRY, $185.00 
,FWR3015GRC,FL WR3015 GRAND RESERVE CHERRY, $176.00 
,FSGH30GRC,FL SGH30 GRAND RESERVE CHERRY, $84.00 
,F1530MDGRC,FL 1530 MULL DR GRAND RESERVE, $83.00 
,F1830MDGRC,FL 1830 MULL DOOR GRAND RESERV, $100.00 
,F3030MDGRC,FL 3030 MULL DR GRAND RESERVE C, $167.00 
,F3630MDGRC,FL 3630 MULL DR GRAND RESERVE C, $191.00 
,FDC2430MDGRC,FL DC2430 MULL DR GRAND RESERV, $87.00 
,F1536MDGRC,FL 1536 MULL DR GRAND RESERVE C , $94.00 
,F1836MDGRC,FL 1836 MULL DR GRAND RESERVE C, $113.00 
,F3036MDGRC,FL 3036 MULL DR GRAND RESERVE C, $187.00 
,F3636MDGRC,FL 3636 MULL DR GRAND RESERVE C, $226.00 
,FDC2436MDGRC,FL DC2436 MULL DR GRAND RESERVE, $103.00 
,F1542MDGRC,FL 1542 MULL DR GRAND RESERVE, $104.00 
,F1842MDGRC,FL 1842 MULL DR GRAND RESERVE, $126.00 
,F3042MDGRC,FL 3042 MULL DR GRAND RESERVE, $205.00 
,F3642MDGRC,FL 3642 MULL DR GRAND RESERVE, $235.00 
,FDC2442MDGRC,FL DC2442 MULL DR GRAND RESERV, $109.00 
,FDC2742MDGRC,FL DC2742 MULL DR GRAND RESERV CH, $109.00 
,FCSF36GRC,FL CSF36 GRAND RESERVE CHERRY, $178.00 
,F30DDGRC,"FL 30"""" DECO DOOR GRAND RESERV", $72.00 
,F36DDGRC,"FL 36"""" DECO DOOR GRAND RESERV", $86.00 
,F42DDGRC,"FL 42"""" DECO DOOR GRAND RESERV", $100.00 
,FBDDGRC,FL BASE DECO DOOR GRAND RESERV, $138.00 
,F3X3X34TPGRC,FL 3X3X34 TABLE POSTS GRAND RESE, $85.00 
,,, $-   
,FV2421GRC,FL V2421 GR RESERVE CHERRY VAN, $272.00 
,FV3021GRC,FL V3021 GR RESERVE CHERRY VAN, $294.00 
,FVDB1221GRC,FL VDB1221 GR RESERVE CHER VAN, $362.00 
,FV3021DGRC,FL V3021D VAN GRAND RESERVE CH, $363.00 
,FV3621DGRC,FL V3621D GRAND RESERVE CHERRY, $405.00 
,FV4821DGRC,FL V4821D GRAND RESERVE CHERRY, $643.00 
,FV6021DGRC,FL V6021D GRAND RESERVE CHERRY, $754.00 
,FL781821GRC,FL L781821 GRAND RESERVE CHERRY, $511.00 
,FBV2126GRC,FL BV2126 GRAND RESERVE CHERRY, $191.00 
,,,
DeptN,Code,Desc,List Price
NPW,FW0930NPW,FL W0930 NEWPORT WHITE, $102.00 
,FW1230NPW,FL W1230 NEWPORT WHITE, $117.00 
,FW1530NPW,FL W1530 NEWPORT WHITE, $134.00 
,FW1830NPW,FL W1830 NEWPORT WHITE, $152.00 
,FW2130NPW,FL W2130 NEWPORT WHITE, $170.00 
,FW2430NPW,FL W2430 NEWPORT WHITE, $194.00 
,FW2730NPW,FL W2730 NEWPORT WHITE, $213.00 
,FW3030NPW,FL W3030 NEWPORT WHITE, $233.00 
,FW3330NPW,FL W3330 NEWPORT WHITE, $251.00 
,FW3630NPW,FL W3630 NEWPORT WHITE, $266.00 
,FWBC2730NPW,FL WBC2730 NEWPORT WHITE, $196.00 
,FWDC2430NPW,FL WDC2430 NEWPORT WHITE, $260.00 
,FW3012NPW,FL W3012 NEWPORT WHITE, $124.00 
,FW3612NPW,FL W3612 NEWPORT WHITE, $141.00 
,FW2415NPW,FL W2415 NEWPORT WHITE, $107.00 
,FW3015NPW,FL W3015 NEWPORT WHITE, $127.00 
,FW3315NPW,FL W3315 NEWPORT WHITE, $144.00 
,FW3615NPW,FL W3615 NEWPORT WHITE, $148.00 
,FW3018NPW,FL W3018 NEWPORT WHITE, $148.00 
,FW3618NPW,FL W3618 NEWPORT WHITE, $175.00 
,FW3024NPW,FL W3024 NEWPORT WHITE, $180.00 
,FW3624NPW,FL W3624 NEWPORT WHITE, $205.00 
,FW331224NPW,FL W331224 NEWPORT WHITE, $164.00 
,FW361224NPW,FL W361224 NEWPORT WHITE, $180.00 
,FW331524NPW,FL W331524 NEWPORT WHITE, $180.00 
,FW361524NPW,FL W361524 NEWPORT WHITE, $196.00 
,FW361824NPW,FL W361824 NEWPORT WHITE, $213.00 
,FW332424NPW,FL W332424 NEWPORT WHITE, $258.00 
,FW362424NPW,FL W362424 NEWPORT WHITE, $273.00 
,FW0936NPW,FL W0936 NEWPORT WHITE, $115.00 
,FW1236NPW,FL W1236 NEWPORT WHITE, $133.00 
,FW1536NPW,FL W1536 NEWPORT WHITE, $151.00 
,FW1836NPW,FL W1836 NEWPORT WHITE, $170.00 
,FW2136NPW,FL W2136 NEWPORT WHITE, $191.00 
,FW2436NPW,FL W2436 NEWPORT WHITE, $221.00 
,FW2736NPW,FL W2736 NEWPORT WHITE, $242.00 
,FW3036NPW,FL W3036 NEWPORT WHITE, $260.00 
,FW3336NPW,FL W3336 NEWPORT WHITE, $281.00 
,FW3636NPW,FL W3636 NEWPORT WHITE, $299.00 
,FWDC2436NPW,FL WDC2436 NEWPORT WHITE, $288.00 
,FWDC2736NPW,FL WDC2736 NEWPORT WHITE, $339.00 
,FW0942NPW,FL W0942 NEWPORT WHITE, $134.00 
,FW1242NPW,FL W1242 NEWPORT WHITE, $156.00 
,FW1542NPW,FL W1542 NEWPORT WHITE, $179.00 
,FW1842NPW,FL W1842 NEWPORT WHITE, $201.00 
,FW2142NPW,FL W2142 NEWPORT WHITE, $224.00 
,FW2442NPW,FL W2442 NEWPORT WHITE, $257.00 
,FW2742NPW,FL W2742 NEWPORT WHITE, $291.00 
,FW3042NPW,FL W3042 NEWPORT WHITE, $311.00 
,FW3342NPW,FL W3342 NEWPORT WHITE, $333.00 
,FW3642NPW,FL W3642 NEWPORT WHITE, $355.00 
,FWDC2442NPW,FL WDC2442 NEWPORT WHITE, $349.00 
,FWDC2742NPW,FL WDC2742 NEWPORT WHITE, $384.00 
,FB09NPW,FL B09 NEWPORT WHITE(FH), $165.00 
,FB12NPW,FL B12 NEWPORT WHITE, $198.00 
,FB15NPW,FL B15 NEWPORT WHITE, $214.00 
,FB18NPW,FL B18 NEWPORT WHITE, $240.00 
,FB21NPW,FL B21 NEWPORT WHITE, $255.00 
,FB24NPW,FL B24 NEWPORT WHITE, $285.00 
,FB27NPW,FL B27 NEWPORT WHITE, $309.00 
,FB30NPW,FL B30 NEWPORT WHITE, $327.00 
,FB33NPW,FL B33 NEWPORT WHITE, $384.00 
,FB36NPW,FL B36 NEWPORT WHITE, $404.00 
,FBBC42-45NPW,FL BBC42-45 NEWPORT WHITE, $343.00 
,FDB15NPW,FL DB15 NEWPORT WHITE, $344.00 
,FDB18NPW,FL DB18 NEWPORT WHITE, $371.00 
,FDB21NPW,FL DB21 NEWPORT WHITE, $390.00 
,FDB24NPW,FL DB24 NEWPORT WHITE, $418.00 
,FDB30NPW,FL DB30 NEWPORT WHITE, $470.00 
,FDCB3612NPW,FL DCB3612 NEWPORT WHITE, $553.00 
,FBC24NPW,FL BC24 NEWPORT WHITE, $297.00 
,FSB30NPW,FL SB30 NEWPORT WHITE, $245.00 
,FSB33NPW,FL SB33 NEWPORT WHITE, $260.00 
,FSB36NPW,FL SB36 NEWPORT WHITE, $275.00 
,FSB42NPW,FL SB42 NEWPORT WHITE, $326.00 
,FSB60NPW,FL SB60 NEWPORT WHITE, $530.00 
,FWP1884NPW,FL WP1884 NEWPORT WHITE, $528.00 
,FWP2484NPW,FL WP2484 NEWPORT WHITE, $679.00 
,FWP1890NPW,FL WP1890 NEWPORT WHITE, $557.00 
,FWP2490NPW,FL WP2490 NEWPORT WHITE, $704.00 
,FWP1896NPW,FL WP1896 NEWPORT WHITE, $593.00 
,FWP2496NPW,FL WP2496 NEWPORT WHITE, $704.00 
,FOU332484NPW,FL OU332484 NEWPORT WHITE, $843.00 
,FOU332490NPW,FL OU332490 NEWPORT WHITE, $866.00 
,FTK8NPW,FL TK8 NEWPORT WHITE, $17.00 
,FCM8NPW,FL CM8 CROWN MOULD NEWPORT WH, $118.00 
,FLRM7NPW,FL LRM7 NEWPORT WHITE, $104.00 
,FOSC7NPW,FL OSC7 NEWPORT WHITE, $14.00 
,FSCM7NPW,FL SCM7 NEWPORT WHITE, $11.00 
,FVA48NPW,FL VA48 NEWPORT WHITE, $96.00 
,FVAS48NPW,FL VAS48 NEWPORT WHITE, $100.00 
,FF330NPW,FL F330 NEWPORT WHITE, $18.00 
,FF342NPW,FL F342 NEWPORT WHITE, $23.00 
,FF396NPW,FL F396 NEWPORT WHITE, $61.00 
,FF642NPW,FL F642 NEWPORT WHITE, $40.00 
,FBF3NPW,FL BF3 NEWPORT WHITE, $21.00 
,FBEP3LNPW,FL BEP3L NEWPORT WHITE, $57.00 
,FEP24X35NPW,FL END PA 24X35X3/16 NEWPORT W, $31.00 
,FWEP12X42NPW,FL WALL END PA 12X42 NEWPORT W, $23.00 
,F3X4PANNPW,"FL 3X4X1/4"" NEWPORT WHITE", $120.00 
,FRP84NPW,FL RP84 NEWPORT WHITE, $134.00 
,FRP90NPW,FL RP90 NEWPORT WHITE, $136.00 
,FRP96NPW,FL RP96 NEWPORT WHITE, $138.00 
,FMC3018NPW,FL MC3018 NEWPORT WHITE, $179.00 
,FPR3015NPW,FL PR3015 NEWPORT WHITE, $210.00 
,FWR3015NPW,FL WR3015 NEWPORT WHITE, $200.00 
,FSGH30NPW,FL SGH30 NEWPORT WHITE, $81.00 
,F1530MDNPW,FL 1530MD NEWPORT WHITE, $74.00 
,F1830MDNPW,FL 1830MD NEWPORT WHITE, $83.00 
,F3030MDNPW,FL 3030 MD NEWPORT WHITE/2 PK, $151.00 
,F3630MDNPW,FL 3630 MD NEWPORT WHITE/2PK, $161.00 
,FDC2430MDNPW,FL DC2430MD NEWPORT WHITE, $72.00 
,F1536MDNPW,FL 1536MD NEWPORT WHITE, $85.00 
,F1836MDNPW,FL 1836 MULL DR NEWPORT WHITE, $96.00 
,F3036MDNPW,FL 3036 MUL DR NEWPORT WH/2PK, $177.00 
,F3636MDNPW,FL 3636 MUL DR NEWPORT WH/2PK, $193.00 
,FDC2436MDNPW,FL DC2436 MULL DR NEWPORT WH, $84.00 
,FDC2736MDNPW,FL DC2736 MULL DR NEWPORT WH, $84.00 
,F1542MDNPW,FL 1542 MULL DR NEWPORT WHITE, $107.00 
,F1842MDNPW,FL 1842 MULL DR NEWPORT WHITE, $119.00 
,F3042MDNPW,FL 3042 MULL DR NEWPORT WH/2P, $213.00 
,F3642MDNPW,FL 3642 MULL DR NEWPORT WH/2P, $238.00 
,FDC2442MDNPW,FL DC2442 MULL DR NEWPORT WHIT, $106.00 
,FDC2742MDNPW,FL DC2742 MULL DR NEWPORT WHITE, $109.00 
,FCSF36NPW,FL CSF36 NEWPORT WHITE, $135.00 
,F30DDNPW,"FL 30"" DECO DR NEWPORT WHITE", $51.00 
,F36DDNPW,"FL 36"" DECO DR NEWPORT WHITE", $59.00 
,F42DDNPW,"FL 42"" DECO DR NEWPORT WHITE", $66.00 
,FBDDNPW,FL BASE DECO DR NEWPORT WHITE, $137.00 
